symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
VGL,8426110,STOCK,UPCOM,Vingal Vnsteel Industries Joint Stock Company,Vingal Industries,Mạ kẽm công nghiệp Vingal-Vnsteel,Công ty Cổ phần Mạ kẽm công nghiệp Vingal-Vnsteel
VGI,8425678,STOCK,UPCOM,Viettel Global Investment Joint Stock Company,Viettel Global Investment,Đầu tư Quốc tế Viettel,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel
VGG,8426002,STOCK,UPCOM,Viet Tien Garment Corporation,Viet Tien Garment,May Việt Tiến,Tổng Công Ty Cổ phần May Việt Tiến
VGC,8424644,STOCK,HSX,Viglacera Corporation,Viglacera Corporation,Tổng Công ty Viglacera,Tổng Công ty Viglacera - Công ty Cổ phần
VFS,8425844,STOCK,HNX,Viet First Securities Corporation,Viet First Securities,Chứng khoán Nhất Việt,Công ty Cổ phần Chứng khoán Nhất Việt
VFR,8425591,STOCK,UPCOM,Transport and Chartering Corporation,Transport and Chartering Vietfracht,Vận tải Vietfracht,Công ty Cổ phần Vận tải và Thuê tàu
VFG,8424613,STOCK,HSX,Vietnam Fumigation Joint Stock Company,Vietnam Fumigation,Khử trùng Việt Nam,Công ty Cổ phần Khử trùng Việt Nam
VFC,8425817,STOCK,UPCOM,Vinafco Joint Stock Corporation,Vinafco,Vận tải biển VINAFCO,Công ty Cổ phần VINAFCO
VET,8426100,STOCK,UPCOM,NAVETCO National Veterinary Joint Stock Company,NAVETCO,Thuốc thú y trung ương Navetco,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO
VES,8425190,STOCK,UPCOM,Meca Vneco Investment And Electricity Construction Joint Stock Company,ME CA VNECO,MÊ CA VNECO,Công ty Cổ phần Đầu tư và Xây dựng Điện MÊ CA VNECO
VEF,8425245,STOCK,UPCOM,Vietnam Exhibition Fair Centre Joint Stock Company,Vietnam Exhibition Fair Centre,Hội chợ Triển lãm Việt Nam,Công ty Cổ phần Trung tâm Hội chợ Triển lãm Việt Nam
VEC,8425829,STOCK,UPCOM,Vietnam Electronics And Informatics Joint Stock Corporation,VIETTRONICS,Điện tử và Tin học VN,Tổng Công ty Cổ phần Điện tử và Tin học Việt Nam
VEA,8425343,STOCK,UPCOM,Vietnam Engine and Agricultural Machinery Corporation,VEAM CORP,Máy động lực và Máy NN,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP
VE9,8425318,STOCK,UPCOM,VNECO 9 Investment & Construction Joint Stock Company,VNECO 9,VNECO 9,Công ty Cổ phần Đầu tư và Xây dựng VNECO 9
VE8,8425354,STOCK,HNX,Vneco 8 Electricity Construction Joint Stock Corporation,Vneco 8 Electricity Construction,Xây dựng Điện Vneco 8,Công ty Cổ phần Xây dựng Điện Vneco 8
VE4,8425064,STOCK,HNX,VNECO4 Electricity Construction Joint Stock Company,VNECO4 Electricity Construction,Xây dựng điện VNECO4,Công ty Cổ phần Xây dựng điện VNECO4
VE3,8425419,STOCK,HNX,VNECO 3 Electricity Construction Joint Stock Company,VNECO 3 Electricity Construction,Xây dựng điện VNECO 3,Công ty Cổ phần Xây dựng điện VNECO 3
